Name,DD.MM
Dzirżyterg,16.03
Alban,21.06
Alban,22.06
Wszebąd,09.07
Smaragd,08.08
Bachus,07.10
Bachus,15.12
Kwintyn,31.10
Konstantyna,18.02
Glicery,15.02
Glicery,20.09
Glicery,21.12
Wojciech,23.04
Chociebor,06.07
Machabeusz,14.08
Genadia,13.09
Berengar,02.10
Gilbert,04.02
Gilbert,13.02
Gilbert,16.02
Narzes,27.03
Narzes,20.11
Fulbert,10.04
Anatola,09.07
Anatola,23.12
Firmin,18.08
Firmin,25.09
Firmin,11.10
Pulcheria,10.09
Monitor,10.11
Uniemir,23.01
Uniemir,03.12
Tomisława,10.02
Tomisława,27.07
Tomisława,21.12
Lena,21.02
Lena,21.05
Lena,22.07
Lena,18.08
Lena,26.09
Lena,28.09
Lena,10.11
Rodryg,13.03
Ubysław,30.07
Eleazar,01.08
Eleazar,27.09
Ansgar,03.02
Napoleon,15.08
Poncjusz,08.03
Witosława,04.02
Teresa,03.03
Teresa,07.03
Teresa,11.03
Teresa,12.04
Teresa,07.06
Teresa,27.06
Teresa,06.07
Teresa,09.08
Teresa,26.08
Teresa,26.09
Teresa,01.10
Teresa,03.10
Teresa,15.10
Gelazja,27.03
Gelazja,21.11
Florian,04.05
Florian,07.05
Florian,05.11
Florian,17.12
Tekla,04.05
Tekla,30.08
Tekla,23.09
Tekla,07.10
Tekla,15.10
Kanmił,16.07
Domaradz,29.12
Markwart,02.02
Alfreda,02.08
Litobor,30.03
Geminian,31.01
Geminian,16.09
Placyd,15.03
Placyd,06.05
Placyd,12.06
Placyd,11.07
Placyd,05.10
Placyd,11.10
Gwendalina,14.10
Barlaam,19.11
Maur,15.01
Maur,20.01
Maur,29.01
Maur,27.07
Maur,05.10
Maur,25.10
Maur,08.11
Maur,22.11
Maur,10.12
Kleonika,03.03
Maryniusz,03.03
Maryniusz,08.08
Maryniusz,03.09
Maryniusz,15.12
Filemon,08.03
Filemon,21.03
Filemon,22.11
Faina,18.05
Tespezjusz,01.06
Tespezjusz,20.11
Aureusz,16.06
Jan Kasjan,23.07
Makary,02.01
Makary,15.01
Makary,28.02
Makary,10.03
Makary,01.04
Makary,10.04
Makary,20.06
Makary,12.08
Makary,30.10
Makary,08.12
Makary,20.12
Esmeralda,08.08
Innocentyna,16.09
Gereon,10.10
Romula,23.07
Witalis,14.02
Witalis,28.04
Witalis,31.05
Witalis,10.07
Witalis,01.09
Witalis,22.09
Witalis,20.10
Witalis,03.11
Witalis,04.11
Czesława,12.01
Czesława,12.06
Czesława,20.07
Radomiła,11.06
Radomiła,13.07
Radomiła,19.07
Radomiła,13.08
Wincentam,28.06
Salustia,14.09
Perpet,08.04
Eliza,14.06
Eliza,17.08
Eliza,02.09
Kineburga,25.06
Kasjana,05.08
Kasjana,13.08
Zofia,15.05
Zofia,02.09
Zofia,18.09
Zofia,23.09
Zofia,30.09
Zofia,18.12
Bohdana,06.02
Bohdana,10.08
Bohdana,02.11
Cymbarka,06.03
Zyta,27.04
Włodzisława,27.06
Niegosława,02.07
Paloma,19.09
Prymus,03.01
Prymus,09.02
Fulko,22.05
Fulko,26.10
Paryzjusz,11.06
Festus,19.09
Festus,21.12
Grodzisław,10.04
Grodzisław,12.10
Filaret,06.04
Wojciecha,23.04
Wojciecha,24.07
Antym,27.04
Antym,11.05
Antym,16.09
Elifiusz,16.10
Wiator,14.12
Ewangelina,29.01
Ksenofont,26.01
Ludwika,31.01
Ludwika,15.03
Ludwika,20.07
Wszebor,27.07
Michał,23.01
Michał,10.02
Michał,17.02
Michał,02.03
Michał,06.04
Michał,10.04
Michał,04.05
Michał,08.05
Michał,14.05
Michał,23.05
Michał,14.06
Michał,20.06
Michał,05.07
Michał,25.08
Michał,29.08
Michał,01.09
Michał,06.09
Michał,29.09
Michał,23.11
Nikolina,26.02
Odeta,08.07
Ewald,03.10
Paulin,11.01
Paulin,29.04
Paulin,04.05
Paulin,22.06
Paulin,12.07
Paulin,31.08
Liberata,18.01
Liberata,12.12
Briok,01.05
Justa,19.07
Audomar,09.09
Audomar,16.11
Lutosław,26.10
Brajan,10.12
Remigiusz,13.01
Remigiusz,20.07
Remigiusz,01.10
Remigiusz,18.10
Eleonora,21.02
Eleonora,19.12
Teodul,01.06
Teodul,18.06
Teodul,23.12
Rudolfa,21.06
Rudolfa,25.07
Rudolfa,01.08
Rudolfa,17.10
Rudolfa,01.12
Wielimir,28.10
Dobrogniewa,30.01
Humbelina,12.02
Humbelina,13.02
Klemencja,21.03
Alwina,26.05
Cecylia,10.06
Cecylia,22.11
Symforiana,22.08
Symforiana,08.11
Arleta,03.01
Arleta,11.04
Judyta,13.01
Judyta,06.05
Judyta,16.06
Judyta,10.12
Judyta,22.12
Stefan,02.02
Stefan,03.02
Stefan,08.02
Stefan,13.02
Stefan,23.02
Stefan,08.03
Stefan,29.03
Stefan,17.04
Stefan,25.04
Stefan,09.05
Stefan,29.05
Stefan,12.06
Stefan,16.07
Stefan,02.08
Stefan,06.08
Stefan,15.08
Stefan,16.08
Stefan,02.09
Stefan,07.10
Stefan,10.11
Stefan,14.11
